long,lat,drive
41.141412,-8.618643,0
41.141376,-8.618499,0
41.14251,-8.620326,0
41.143815,-8.622153,0
41.144373,-8.623953,0
41.144778,-8.62668,0
41.144697,-8.627373,0
41.14521,-8.630226,0
41.14692,-8.632746,0
41.148225,-8.631738,0
41.150385,-8.629938,0
41.151213,-8.62911,0
41.15124,-8.629128,0
41.152203,-8.628786,0
41.152374,-8.628687,0
41.152518,-8.628759,0
41.15268,-8.630838,0
41.153022,-8.632323,0
41.154489,-8.631144,0
41.154507,-8.630829,0
41.154516,-8.630829,0
41.154498,-8.630829,0
41.154489,-8.630838,0
